speciesCode,scientific_name,english_name,spanish_name,genus,species,family,taxon_group,ebird_species_url,wikidata_url,macaulay_url,active,content_status,source_updated_at,source_notes
littin1,Crypturellus soui,Little Tinamou,Tinamú Chico,Crypturellus,soui,,bird,https://ebird.org/species/littin1,https://www.wikidata.org/wiki/Q742535,,TRUE,Published,,
torduc1,Merganetta armata,Torrent Duck,Pato Torrentero,Merganetta,armata,,bird,https://ebird.org/species/torduc1,https://www.wikidata.org/wiki/Q742535,,TRUE,Published,,
mallar3,Anas platyrhynchos,Mallard,Ánade Azulón,Anas,platyrhynchos,,bird,https://ebird.org/species/mallar3,https://www.wikidata.org/wiki/Q1078580,,TRUE,Failed,,
andgua1,Penelope montagnii,Andean Guan,Pava Andina,Penelope,montagnii,,bird,https://ebird.org/species/andgua1,https://www.wikidata.org/wiki/Q1266228,,TRUE,Published,,
cregua1,Penelope purpurascens,Crested Guan,Pava Cojolita,Penelope,purpurascens,,bird,https://ebird.org/species/cregua1,https://www.wikidata.org/wiki/Q848140,,TRUE,Published,,
watgua1,Aburria aburri,Wattled Guan,Pava Aburria,Aburria,aburri,,bird,https://ebird.org/species/watgua1,https://www.wikidata.org/wiki/Q1079723,,TRUE,Published,,
siwgua1,Chamaepetes goudotii,Sickle-winged Guan,Pava Falcialar,Chamaepetes,goudotii,,bird,https://ebird.org/species/siwgua1,https://www.wikidata.org/wiki/Q25348,,TRUE,Published,,
rfwqua1,Odontophorus erythrops,Rufous-fronted Wood-Quail,Corcovado Frentirrojo,Odontophorus,erythrops,,bird,https://ebird.org/species/rfwqua1,https://www.wikidata.org/wiki/Q914045,,TRUE,Published,,
dbwqua1,Odontophorus melanonotus,Dark-backed Wood-Quail,Corcovado Dorsioscuro,Odontophorus,melanonotus,,bird,https://ebird.org/species/dbwqua1,https://www.wikidata.org/wiki/Q609761,,TRUE,Published,,
rocpig,Columba livia,Rock Pigeon,Paloma Bravía,Columba,livia,,bird,https://ebird.org/species/rocpig,https://www.wikidata.org/wiki/Q42326,,TRUE,Published,,
pavpig2,Patagioenas cayennensis,Pale-vented Pigeon,Paloma Colorada,Patagioenas,cayennensis,,bird,https://ebird.org/species/pavpig2,https://www.wikidata.org/wiki/Q1263074,,TRUE,,,
batpig1,Patagioenas fasciata,Band-tailed Pigeon,Paloma Torcaza,Patagioenas,fasciata,,bird,https://ebird.org/species/batpig1,https://www.wikidata.org/wiki/Q512061,,TRUE,,,
plupig2,Patagioenas plumbea,Plumbeous Pigeon,Paloma Plomiza,Patagioenas,plumbea,,bird,https://ebird.org/species/plupig2,https://www.wikidata.org/wiki/Q1268856,,TRUE,,,
rudpig,Patagioenas subvinacea,Ruddy Pigeon,Paloma Vinosa,Patagioenas,subvinacea,,bird,https://ebird.org/species/rudpig,https://www.wikidata.org/wiki/Q848140,,TRUE,,,
duspig2,Patagioenas goodsoni,Dusky Pigeon,Paloma Oscura,Patagioenas,goodsoni,,bird,https://ebird.org/species/duspig2,https://www.wikidata.org/wiki/Q1079723,,TRUE,,,
cogdov,Columbina passerina,Common Ground Dove,Columbina Común,Columbina,passerina,,bird,https://ebird.org/species/cogdov,https://www.wikidata.org/wiki/Q25348,,TRUE,Scheduled,,
mcgdov1,Paraclaravis mondetoura,Maroon-chested Ground Dove,Tortolita Pechimorada,Paraclaravis,mondetoura,,bird,https://ebird.org/species/mcgdov1,https://www.wikidata.org/wiki/Q914045,,TRUE,,,
ruqdov,Geotrygon montana,Ruddy Quail-Dove,Paloma Perdiz Común,Geotrygon,montana,,bird,https://ebird.org/species/ruqdov,https://www.wikidata.org/wiki/Q609761,,TRUE,Published,,
whtdov,Leptotila verreauxi,White-tipped Dove,Paloma Montaraz Común,Leptotila,verreauxi,,bird,https://ebird.org/species/whtdov,https://www.wikidata.org/wiki/Q1066498,,TRUE,,,
paldov1,Leptotila pallida,Pallid Dove,Paloma Montaraz Pálida,Leptotila,pallida,,bird,https://ebird.org/species/paldov1,https://www.wikidata.org/wiki/Q1263299,,TRUE,,,
wtqdov1,Zentrygon frenata,White-throated Quail-Dove,Paloma Perdiz Gorjiblanca,Zentrygon,frenata,,bird,https://ebird.org/species/wtqdov1,https://www.wikidata.org/wiki/Q27074689,,TRUE,,,
eardov1,Zenaida auriculata,Eared Dove,Zenaida Torcaza,Zenaida,auriculata,,bird,https://ebird.org/species/eardov1,https://www.wikidata.org/wiki/Q1006452,,TRUE,Scheduled,,
smbani,Crotophaga ani,Smooth-billed Ani,Garrapatero Aní,Crotophaga,ani,,bird,https://ebird.org/species/smbani,https://www.wikidata.org/wiki/Q256046,,TRUE,,,
litcuc2,Coccycua minuta,Little Cuckoo,Cuco Ardilla Menor,Coccycua,minuta,,bird,https://ebird.org/species/litcuc2,https://www.wikidata.org/wiki/Q1267915,,TRUE,Published,,
squcuc1,Piaya cayana,Squirrel Cuckoo,Cuco Ardilla Común,Piaya,cayana,,bird,https://ebird.org/species/squcuc1,https://www.wikidata.org/wiki/Q1270495,,TRUE,,,
rubnig1,Lurocalis rufiventris,Rufous-bellied Nighthawk,Añapero Ventrirrufo,Lurocalis,rufiventris,,bird,https://ebird.org/species/rubnig1,https://www.wikidata.org/wiki/Q1274552,,TRUE,,,
compau,Nyctidromus albicollis,Common Pauraque,Chotacabras Pauraque,Nyctidromus,albicollis,,bird,https://ebird.org/species/compau,https://www.wikidata.org/wiki/Q1122212,,TRUE,Published,,
lytnig1,Uropsalis lyra,Lyre-tailed Nightjar,Chotacabras Lira,Uropsalis,lyra,,bird,https://ebird.org/species/lytnig1,https://www.wikidata.org/wiki/Q1269311,,TRUE,Published,,
compot1,Nyctibius griseus,Common Potoo,Nictibio Urutaú,Nyctibius,griseus,,bird,https://ebird.org/species/compot1,https://www.wikidata.org/wiki/Q1258935,,TRUE,,,
spfswi1,Cypseloides cherriei,Spot-fronted Swift,Vencejo Cuatroojos,Cypseloides,cherriei,,bird,https://ebird.org/species/spfswi1,https://www.wikidata.org/wiki/Q3046541,,TRUE,,,
chcswi1,Streptoprocne rutila,Chestnut-collared Swift,Vencejo Cuellirrojo,Streptoprocne,rutila,,bird,https://ebird.org/species/chcswi1,https://www.wikidata.org/wiki/Q593759,,TRUE,Scheduled,,
whcswi,Streptoprocne zonaris,White-collared Swift,Vencejo Acollarado,Streptoprocne,zonaris,,bird,https://ebird.org/species/whcswi,https://www.wikidata.org/wiki/Q1269417,,TRUE,Published,,
grrswi1,Chaetura cinereiventris,Gray-rumped Swift,Vencejo Ceniciento,Chaetura,cinereiventris,,bird,https://ebird.org/species/grrswi1,https://www.wikidata.org/wiki/Q1261427,,TRUE,,,
barswi,Chaetura spinicaudus,Band-rumped Swift,Vencejo Lomiblanco,Chaetura,spinicaudus,,bird,https://ebird.org/species/barswi,https://www.wikidata.org/wiki/Q1265667,,TRUE,Published,,
whtswi1,Aeronautes montivagus,White-tipped Swift,Vencejo Montañés,Aeronautes,montivagus,,bird,https://ebird.org/species/whtswi1,https://www.wikidata.org/wiki/Q820212,,TRUE,,,
lstswi1,Panyptila cayennensis,Lesser Swallow-tailed Swift,Vencejo Tijereta Chico,Panyptila,cayennensis,,bird,https://ebird.org/species/lstswi1,https://www.wikidata.org/wiki/Q1262293,,TRUE,,,
whnjac1,Florisuga mellivora,White-necked Jacobin,Colibrí Nuquiblanco,Florisuga,mellivora,,bird,https://ebird.org/species/whnjac1,https://www.wikidata.org/wiki/Q1084570,,TRUE,Published,,
whtsic1,Eutoxeres aquila,White-tipped Sicklebill,Picohoz Coliverde,Eutoxeres,aquila,,bird,https://ebird.org/species/whtsic1,https://www.wikidata.org/wiki/Q358469,,TRUE,Scheduled,,
