speciesCode,english_name,spanish_name,image_primary_local_path,image_primary_external_url,image_credit,image_license,image_source_type,image_needs_rehost,image_alt_en,image_alt_es,audio_primary_local_path,audio_primary_external_url,audio_credit,audio_license,audio_source_type,audio_needs_rehost,audio_caption_en,audio_caption_es,media_notes
littin1,Little Tinamou,Tinamú Chico,,https://commons.wikimedia.org/wiki/Special:FilePath/Little%20tinamou.jpg,Image: Little tinamou.jpg • via Wikimedia Commons (Wikidata Q609761),,wikimedia_commons,FALSE,Little Tinamou in the Mindo cloud forest,Tinamú Chico en el bosque nublado de Mindo,,https://xeno-canto.org/1009359/download,Little Tinamou • José María Loaiza B. • Xeno-canto 1009359,//creativecommons.org/licenses/by-nc-sa/4.0/,xeno_canto,TRUE,Little Tinamou bird call,Sonido de Tinamú Chico,External media separated. Add local /assets/ or CDN paths later before using on public pages.
torduc1,Torrent Duck,Pato Torrentero,,https://commons.wikimedia.org/wiki/Special:FilePath/TorrentDuckM.jpg,Image: TorrentDuckM.jpg • via Wikimedia Commons (Wikidata Q914045),,wikimedia_commons,FALSE,Torrent Duck in the Mindo cloud forest,Pato Torrentero en el bosque nublado de Mindo,,https://xeno-canto.org/1001188/download,Torrent Duck • Manuel Sánchez-Nivicela • Xeno-canto 1001188,//creativecommons.org/licenses/by-nc-nd/4.0/,xeno_canto,TRUE,Torrent Duck bird call,Sonido de Pato Torrentero,External media separated. Add local /assets/ or CDN paths later before using on public pages.
mallar3,Mallard,Ánade Azulón,,https://commons.wikimedia.org/wiki/Special:FilePath/Anas%20platyrhynchos%20(Male)%20on%20the%20ground.jpg,Image: Anas platyrhynchos (Male) on the ground.jpg • via Wikimedia Commons (Wikidata Q25348),,wikimedia_commons,TRUE,Mallard in the Mindo cloud forest,Ánade Azulón en el bosque nublado de Mindo,,,,,,FALSE,Mallard bird call,Sonido de Ánade Azulón,External media separated. Add local /assets/ or CDN paths later before using on public pages.
andgua1,Andean Guan,Pava Andina,,https://commons.wikimedia.org/wiki/Special:FilePath/Andean%20Guan%20JCB.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Andean%20Guan%20JCB.jpg,,wikimedia_commons,FALSE,Andean Guan in the Mindo cloud forest,Pava Andina en el bosque nublado de Mindo,,https://xeno-canto.org/345254/download,Andean Guan • Charlie Vogt • Xeno-canto 345254,//creativecommons.org/licenses/by-nc-sa/4.0/,xeno_canto,TRUE,Andean Guan bird call,Sonido de Pava Andina,External media separated. Add local /assets/ or CDN paths later before using on public pages.
cregua1,Crested Guan,Pava Cojolita,,https://commons.wikimedia.org/wiki/Special:FilePath/Crested%20guan%20(Penelope%20purpurascens%20purpurascens)%20Orange%20Walk.jpg,Image: Crested guan (Penelope purpurascens purpurascens) Orange Walk.jpg • via Wikimedia Commons (Wikidata Q848140),,wikimedia_commons,FALSE,Crested Guan in the Mindo cloud forest,Pava Cojolita en el bosque nublado de Mindo,,https://xeno-canto.org/990702/download,Crested Guan • José María Loaiza B. • Xeno-canto 990702,//creativecommons.org/licenses/by-nc-sa/4.0/,xeno_canto,TRUE,Crested Guan bird call,Sonido de Pava Cojolita,External media separated. Add local /assets/ or CDN paths later before using on public pages.
watgua1,Wattled Guan,Pava Aburria,,https://commons.wikimedia.org/wiki/Special:FilePath/Wattled%20Guan%20(8079915812).jpg,Image: Wattled Guan (8079915812).jpg • via Wikimedia Commons (Wikidata Q1266228),,wikimedia_commons,TRUE,Wattled Guan in the Mindo cloud forest,Pava Aburria en el bosque nublado de Mindo,,https://xeno-canto.org/890314/download,Wattled Guan • Paul Driver • Xeno-canto 890314,//creativecommons.org/licenses/by-nc-sa/4.0/,xeno_canto,TRUE,Wattled Guan bird call,Sonido de Pava Aburria,External media separated. Add local /assets/ or CDN paths later before using on public pages.
siwgua1,Sickle-winged Guan,Pava Falcialar,,https://commons.wikimedia.org/wiki/Special:FilePath/Sickle-winged%20Guan.jpg,Image: Sickle-winged Guan.jpg • via Wikimedia Commons (Wikidata Q1078580),,wikimedia_commons,TRUE,Sickle-winged Guan in the Mindo cloud forest,Pava Falcialar en el bosque nublado de Mindo,,https://xeno-canto.org/1003001/download,Sickle-winged Guan • José María Loaiza B. • Xeno-canto 1003001,//creativecommons.org/licenses/by-nc-sa/4.0/,xeno_canto,TRUE,Sickle-winged Guan bird call,Sonido de Pava Falcialar,External media separated. Add local /assets/ or CDN paths later before using on public pages.
rfwqua1,Rufous-fronted Wood-Quail,Corcovado Frentirrojo,,https://commons.wikimedia.org/wiki/Special:FilePath/Odontophorus%20erythrops%20parambae%201897.jpg,Image: Odontophorus erythrops parambae 1897.jpg • via Wikimedia Commons (Wikidata Q1259880),,wikimedia_commons,TRUE,Rufous-fronted Wood-Quail in the Mindo cloud forest,Corcovado Frentirrojo en el bosque nublado de Mindo,,https://xeno-canto.org/512795/download,Rufous-fronted Wood Quail • Hans Matheve • Xeno-canto 512795,//creativecommons.org/licenses/by-nc-nd/4.0/,xeno_canto,TRUE,Rufous-fronted Wood-Quail bird call,Sonido de Corcovado Frentirrojo,External media separated. Add local /assets/ or CDN paths later before using on public pages.
dbwqua1,Dark-backed Wood-Quail,Corcovado Dorsioscuro,,https://commons.wikimedia.org/wiki/Special:FilePath/Dark-backed%20Wood-quail%20(Odontophorus%20melanonotus)%20(5198407854).jpg,Image: Dark-backed Wood-quail (Odontophorus melanonotus) (5198407854).jpg • via Wikimedia Commons (Wikidata Q742535),,wikimedia_commons,TRUE,Dark-backed Wood-Quail in the Mindo cloud forest,Corcovado Dorsioscuro en el bosque nublado de Mindo,,https://xeno-canto.org/1004941/download,Dark-backed Wood Quail • Marc Anderson • Xeno-canto 1004941,//creativecommons.org/licenses/by-nc-nd/4.0/,xeno_canto,TRUE,Dark-backed Wood-Quail bird call,Sonido de Corcovado Dorsioscuro,External media separated. Add local /assets/ or CDN paths later before using on public pages.
rocpig,Rock Pigeon,Paloma Bravía,,https://commons.wikimedia.org/wiki/Special:FilePath/Columba%20livia%20Baltasound%20Shetland%201.jpg,Image: Columba livia Baltasound Shetland 1.jpg • via Wikimedia Commons (Wikidata Q42326),,wikimedia_commons,TRUE,Rock Pigeon in the Mindo cloud forest,Paloma Bravía en el bosque nublado de Mindo,,https://xeno-canto.org/513867/download,Rock Dove • Leonardo Ordóñez-Delgado • Xeno-canto 513867,//creativecommons.org/licenses/by-nc-sa/4.0/,xeno_canto,TRUE,Rock Pigeon bird call,Sonido de Paloma Bravía,External media separated. Add local /assets/ or CDN paths later before using on public pages.
