speciesCode,english_name,spanish_name,scientific_name,target_species,iconic_species,tour_visibility,tour_fit,target_difficulty,photography_difficulty,best_time_of_day,best_months,habitat_primary,habitat_secondary,elevation_min_m,elevation_max_m,route_cluster_primary,route_cluster_secondary,primary_hotspot_name,primary_hotspot_ebird_loc_id,secondary_hotspot_name,secondary_hotspot_ebird_loc_id,walking_level,access_level,reliability_score_manual,rarity_score_manual,photography_score_manual,opportunity_weight_manual,pricing_complexity,custom_tour_priority,half_day_visibility_note_en,half_day_visibility_note_es,full_day_visibility_note_en,full_day_visibility_note_es,guide_notes_en,guide_notes_es,internal_notes,needs_review,ebird_enabled,active
littin1,Little Tinamou,Tinamú Chico,Crypturellus soui,TRUE,TRUE,custom_only,custom_private,specialist,hard,early_morning,year_round,forest understory,quiet trails and dense cover,1600,2400,tandayapa_bellavista,,Bellavista Cloud Forest Lodge,,,,moderate,moderate,35,85,40,1,premium_plus,high,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Tandayapa and Bellavista Corridor.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Corredor Tandayapa y Bellavista.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
torduc1,Torrent Duck,Pato Torrentero,Merganetta armata,TRUE,TRUE,custom_only,custom_private,hard,hard,early_morning,year_round,"rivers, streams, and wet edges",riparian forest,1250,1900,rio_nambillo,,Mindo--El Monte Sustainable Lodge,,,,moderate,moderate,50,70,40,1,premium,high,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Río Nambillo and Forest Trails.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Río Nambillo y Senderos de Bosque.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
mallar3,Mallard,Ánade Azulón,Anas platyrhynchos,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
andgua1,Andean Guan,Pava Andina,Penelope montagnii,TRUE,TRUE,custom_only,custom_private,hard,hard,early_morning,year_round,cloud forest,forest edge and mixed habitat,1600,2400,tandayapa_bellavista,,Bellavista Cloud Forest Lodge,,,,moderate,moderate,50,70,40,1,premium,high,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Tandayapa and Bellavista Corridor.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Corredor Tandayapa y Bellavista.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
cregua1,Crested Guan,Pava Cojolita,Penelope purpurascens,TRUE,TRUE,custom_only,custom_private,hard,hard,early_morning,year_round,cloud forest,forest edge and mixed habitat,1600,2400,tandayapa_bellavista,,Bellavista Cloud Forest Lodge,,,,moderate,moderate,50,70,40,1,premium,high,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Tandayapa and Bellavista Corridor.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Corredor Tandayapa y Bellavista.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
watgua1,Wattled Guan,Pava Aburria,Aburria aburri,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate_to_hard,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
siwgua1,Sickle-winged Guan,Pava Falcialar,Chamaepetes goudotii,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate_to_hard,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
rfwqua1,Rufous-fronted Wood-Quail,Corcovado Frentirrojo,Odontophorus erythrops,TRUE,TRUE,custom_only,custom_private,hard,hard,dawn,to_review,cloud forest understory,,,,paz_de_las_aves,san_lorenzo,Paz de las Aves area,,,,moderate,special_access,48,,,,premium,high,,,,,Wood-quail target; keep expectations flexible and guide-reviewed.,,Second-batch starter enrichment by Codex. Confirm current route/local reliability before quoting.,FALSE,TRUE,TRUE
dbwqua1,Dark-backed Wood-Quail,Corcovado Dorsioscuro,Odontophorus melanonotus,TRUE,TRUE,custom_only,custom_private,hard,hard,dawn,to_review,cloud forest understory,forest trails,,,paz_de_las_aves,san_lorenzo,Paz de las Aves area,,,,moderate,special_access,55,,,,premium,high,,,,,"Hard target; useful in report, but keep visitor language cautious.",,Starter enrichment by Codex.,FALSE,TRUE,TRUE
rocpig,Rock Pigeon,Paloma Bravía,Columba livia,TRUE,FALSE,half_day,half_day,easy,easy,morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,75,25,75,50,standard,medium,Possible on a half-day route when recent activity is close to Mindo.,Posible en una ruta de medio dia cuando la actividad reciente esta cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
